WFC,ETN,AMZN,QCOM,LMT,KO,JNJ,ISRG,XOM,MDT,DHR,PLD,BA,PG,MRK,AMD,BX,PM,SCHW,VZ,COP,ADI,BAC,NOW,TMO,CVX,ANET,NVDA,GE,GILD,MU,CMCSA,DIS,AXP,HON,META,NFLX,PGR,LLY,JPM,VRTX,TJX,EQIX,AAPL,FI,DE,SBUX,GOOGL,T,ABT,BMY,MS,CRM,PFE,SPGI,BRK-B,ADBE,ACN,AMGN,LIN,V,WMT,AMAT,CAT,RTX,UNP,IBM,TXN,ADP,GOOG,ORCL,BSX,UNH,TMUS,SYK,GS,UBER,AVGO,MMC,CSCO,PLTR,MA,C,BKNG,MCD,LOW,HD,INTU,LRCX,KKR,COST,NEE,ABBV,TSLA,MSFT,PEP,CB,PANW,BLK
0.0002165255951762676,1.1560428562592541e-5,-6.927366173742165e-5,7.504127697247246e-6,1.759720719254294e-5,-6.240969816091266e-6,7.328148801711831e-6,-3.8757082705866456e-5,6.096941248544835e-5,1.3623471801267564e-5,1.8878714211440973e-5,2.9323346686328483e-5,3.6927931783490556e-5,-1.8474113221407906e-5,1.1760585877749094e-5,-6.089505564905158e-5,6.373352804952233e-5,2.71452485186021e-5,0.00018599955666098738,6.8830302638735936e-6,7.345299833122073e-5,-4.06779384985526e-7,0.0001530101489107368,-4.5120622141952005e-5,9.924931310261321e-6,6.226956626996099e-5,-6.172039639186086e-5,-4.259192885954517e-5,1.32009634542609e-5,1.9616446214453997e-5,6.289343520358328e-7,-9.500089821049287e-6,2.6206062981110815e-5,7.621458829232978e-5,1.622821648122781e-5,-6.126628476973194e-5,-4.6697947508238824e-5,4.646411348630807e-5,-4.426464369250009e-5,9.683421174189442e-5,-1.8311646694776337e-5,2.03381599465088e-6,-1.6947063825800922e-5,-3.0185793380823688e-5,3.588252310271806e-5,3.701599728204964e-5,-3.999399744072051e-6,-5.981932579119054e-5,2.0879869505522394e-5,5.23864498774233e-6,1.7583307288992518e-5,0.00010090842841864618,-3.0032893925704377e-5,3.843152027107565e-6,4.458423402562402e-7,2.3343560083410084e-5,-6.133195345971491e-5,-1.1366186592216155e-5,-1.0204366556945188e-5,4.4293859665258495e-6,4.661441592563599e-6,-1.2852524823780616e-5,-3.4179219168398354e-5,5.7207049967252507e-5,2.5648821165691694e-5,3.9469043964466065e-5,1.672013287691523e-5,-4.273465358553279e-6,2.701135823351918e-6,-6.158519298914219e-5,-6.692169989572085e-5,-1.6487537702710743e-5,2.042477331409763e-6,-8.200855603562298e-6,-1.788060848235116e-5,8.945590056378715e-5,-2.063531821154188e-5,-3.0296512157929337e-5,-1.5568684571816844e-5,-1.2245492566491588e-5,-1.6972302700936443e-5,-7.611760812494406e-6,0.0001284369475702937,-1.0028549525598913e-6,-4.401578263576909e-6,1.9241529334489656e-5,2.1508428314273624e-5,-3.685379782644586e-5,-1.4776027372018311e-5,4.4813377502327134e-5,-2.7252119591935146e-5,5.322374253366569e-6,2.6590401312422517e-5,3.1246018355205545e-5,-7.086834009593582e-5,-2.5762462307176257e-5,5.2445241884382305e-5,-4.680347027738572e-5,4.235484324277126e-5
1.1560428562592541e-5,0.00019346767442421643,-3.501438953360789e-5,1.2185113980886506e-6,8.117829556670847e-6,2.238757174513192e-7,-1.0722474058468155e-5,-2.202499587708394e-5,1.3302953407069612e-5,-2.4192208894785325e-5,1.3293641080535165e-7,3.17705153297039e-6,2.1379684869962367e-5,-5.78072348419702e-6,-1.8154993275732346e-6,4.137506328571254e-6,7.48333103277213e-6,-1.622875149953929e-5,5.0596336988089975e-5,-1.9671040537364083e-5,1.0506715035478573e-5,1.623009783380407e-5,1.5670984055179723e-5,5.709298230949584e-7,2.4325839849115118e-6,-4.744073300258712e-6,9.3466991793276e-5,2.6234963816695972e-5,3.062768644884934e-5,1.9608074519689574e-6,3.842704418731038e-6,-1.3170720468295545e-5,-1.6181985658790182e-5,2.538523863178087e-5,2.9524221762533223e-5,-3.7115858401871516e-5,-1.8608911755336736e-5,1.9929394805688415e-5,-3.175550035838083e-7,3.050069309424299e-5,-9.293387071235113e-6,4.549025993996113e-6,6.362580511633358e-6,-1.4886519912307774e-5,1.3531461115048173e-5,6.853713107837576e-5,-1.6751666129052752e-5,-6.018515160897204e-5,-3.456413371556347e-5,-1.9721110522249904e-5,-2.6766951769980233e-5,3.119978031071814e-5,-1.392830275483274e-5,-1.238057510535576e-5,-3.219363140768246e-6,1.8168102259987695e-5,4.900054182492402e-7,2.455522663653681e-5,-2.0910845460881112e-5,3.3749684643215e-5,-1.05938002794109e-6,-8.709786534993136e-6,2.2369372462066596e-5,8.871073652150947e-5,5.008916696885823e-5,3.869202464302491e-6,2.875863141887564e-5,9.543091444903993e-6,1.0730795235538831e-5,-6.074164861399266e-5,3.1372563325191734e-5,-1.097059699493209e-6,8.578845891187609e-6,-1.4501681963326124e-5,-1.3246767511591411e-5,2.483834948426066e-5,-1.258616606223728e-6,3.03242981770089e-5,1.2397703317611861e-5,7.43654766212663e-6,-2.425505445497335e-5,2.0771487823250693e-6,1.5817515595005304e-5,1.603244028695827e-5,-6.323886840350664e-6,1.3869005145858404e-5,9.835700936551273e-6,-1.5730863190765956e-5,2.3558096395483508e-5,2.9917063757333955e-5,-1.894534538540886e-5,-4.2260436010568486e-6,-6.4816060555083735e-6,-3.251618566412209e-5,-2.1556809730069388e-5,-3.615248811528541e-6,2.598521546882761e-5,-8.912460234653526e-6,1.0493654091989594e-5
-6.927366173742165e-5,-3.501438953360789e-5,0.000272391917487908,7.3474861478644964e-6,-3.5913284497439394e-5,-2.3672840732703948e-5,-3.250992138521297e-5,-1.8697772098680157e-6,-7.48626057957524e-5,-1.5456561700037562e-5,-3.6085182207620964e-5,-3.307384937634081e-5,-4.180696227639271e-5,-1.76112969397331e-5,-4.4101716862503633e-5,9.825681015937817e-5,-1.3686378275468834e-5,-3.981145015647193e-5,-0.00010758351981143294,-1.3467025915247441e-5,-8.522770739722026e-5,-1.4908856833970322e-5,-6.54301682412983e-5,6.884788036648846e-5,-3.0136585209631965e-5,-8.73154813636772e-5,1.9280522676923283e-5,3.0655744768128405e-5,-4.6971335402480625e-6,-2.11263348785085e-5,1.7107983829057658e-5,-5.695826460111749e-6,-2.047538390636997e-6,-2.460041650602125e-5,-2.5146892234485164e-5,0.00011761935210722772,4.5538975170022644e-5,-6.429756714978551e-5,-1.1302973439741652e-5,-5.651411383272267e-5,-2.534448204417573e-5,-2.2395765558165067e-5,-5.529165931978559e-6,1.4202854511056144e-7,-4.555284241784084e-5,-6.384973897057134e-5,-2.5937005466685714e-5,9.497862201073194e-5,3.934244042550409e-6,-1.7485619257173215e-5,-3.9452763577060184e-5,-5.028126236567228e-5,3.70576590000214e-5,-1.6102493626772795e-5,-1.2597210888418206e-5,-3.126232068861192e-5,4.811190711078008e-5,-3.320482302723692e-6,-1.4098659403572914e-5,-1.390411683639837e-5,-1.6135774431642946e-5,-2.469768630711906e-6,1.7814992195066703e-5,-8.27451539284467e-5,-5.1002523087483644e-5,-4.502234919677676e-5,-2.8592540697536603e-5,-1.6037272041698107e-5,-1.8537399199955656e-5,9.779567460837664e-5,8.015035967769084e-6,-2.7291993405537914e-5,-4.263937612235592e-5,-7.510331471994396e-6,7.005063933226459e-6,-4.112377698910325e-5,4.148170049783869e-5,-1.6469605945823064e-6,-1.773290994354834e-5,-7.968788170404523e-6,8.304580484533806e-5,-8.48219603523687e-6,-5.13634680506009e-5,2.7731996544365125e-5,-2.1104387082107757e-5,2.643380524354818e-6,-4.186714748735192e-6,4.358180625010137e-5,2.504615352485498e-5,-1.3145309143554994e-5,1.5468794158542105e-5,-4.217583669179633e-5,-5.591902751480016e-5,2.6311458431042306e-5,6.717913197965637e-5,-1.5196266161990725e-5,-4.9194014725428895e-5,3.5771143051678786e-5,-2.1386315966563238e-5
7.504127697247246e-6,1.2185113980886506e-6,7.3474861478644964e-6,0.000241704278633357,-2.0880145036356087e-5,-1.837580324869094e-5,-2.8120763037640286e-5,4.7908809295056494e-8,-4.361427078322969e-6,-9.033044931567594e-6,3.334984781450889e-6,-9.621024236333389e-6,1.5083816060021574e-5,-2.436590974148905e-5,-4.056156979431184e-5,9.43703829635202e-5,3.0972022123354466e-5,-1.2683938089708732e-5,1.179796024512096e-5,-3.934416109700331e-6,-8.893521499264678e-6,7.48443611183546e-5,1.1925799574744919e-5,1.8419552378237888e-5,6.44398086524852e-6,-3.825704680919187e-6,3.559520874986738e-5,5.672008061945437e-5,6.567716033140746e-6,-1.8249050961241467e-5,9.467822436896867e-5,-1.110432834849319e-5,4.0215300657296924e-5,1.5966042378367325e-5,-1.1244098990374272e-5,-4.764169126771023e-5,4.5284040589905564e-5,-5.374708220700837e-5,-5.235562875682043e-5,-4.075483860044777e-6,1.4048403723787597e-7,-9.920468010496117e-6,-6.433103590009292e-7,4.0138248678665995e-6,5.366935970805463e-6,4.999114122731988e-6,9.929818910325823e-6,-2.016787683643969e-5,1.2643876445980826e-5,-3.931874054722048e-7,-3.7052812525456325e-5,1.4606996474824925e-5,2.500094922426191e-5,-1.770172525603474e-5,-4.234562818805317e-6,-2.0617143512199465e-5,3.5696805366101566e-5,1.0324302123786715e-5,-2.4279137501544973e-5,-7.110296183229924e-6,-1.508359256013602e-5,-1.5893660688339628e-5,9.879103776963946e-5,2.6555622134984245e-5,-2.0168605971802702e-5,-1.601743509593359e-5,3.001985781378494e-6,7.080913276051026e-5,-3.6537059643506983e-7,-1.9703525015007852e-5,-6.869505919493768e-6,-1.1338695782050884e-5,-2.9314456708490905e-5,-1.9230550006298966e-5,6.974186448095985e-6,-1.410254692867992e-6,1.9618061195723342e-5,4.772655777109971e-5,-2.185164660533875e-5,-3.0049743427432335e-7,6.159791272334967e-5,-1.5869943034265986e-5,2.074339692033871e-5,1.8759456195211996e-5,-2.4106101830316192e-5,-1.5839927532917224e-5,-4.5211867316961275e-6,1.2925361808987043e-5,0.00010614310011578124,2.7019600204138723e-5,5.845066322337866e-6,-2.053372196285134e-5,-1.6239567414832654e-5,2.568509489373268e-5,-1.6906491437520978e-5,-2.8644774664858965e-5,-2.262734381717211e-5,-1.3705984973275482e-5,2.359322176791075e-5
1.759720719254294e-5,8.117829556670847e-6,-3.5913284497439394e-5,-2.0880145036356087e-5,0.0001228234292658862,1.8002352051089576e-5,2.0187857477553028e-5,-1.3442651937309741e-5,5.43141277226013e-5,-7.570370902512405e-7,2.403812400587279e-6,8.116916734620602e-6,1.7629323536938245e-5,1.7714385189077283e-5,2.3868818429451668e-5,-6.121548583507061e-5,-1.8838082433699408e-5,2.031779294641789e-5,-1.3943827411853155e-6,2.9784442028096726e-6,6.5423753395162e-5,-1.9517813619019325e-5,6.396542756852346e-6,-2.6176014954301223e-5,-6.002243425934502e-6,3.9912648406523433e-5,3.20533481224492e-6,-7.480899972364215e-5,-5.26278881826649e-6,2.5990548050667586e-5,-3.498888808008386e-5,-1.7087869016834229e-6,-9.461824246019101e-7,9.243945313150047e-6,2.7698262676687508e-5,-2.960449794155115e-5,-1.5194741727560316e-5,4.7925931058836677e-5,1.3897929285961698e-5,1.5540522872578568e-5,2.617681866937511e-6,1.7771918999469443e-5,-1.3616816041368416e-6,-3.873415524266275e-6,2.3008627378175127e-6,2.2958812166075304e-5,6.4283608871843925e-6,-3.6939979483120215e-5,1.8311104890284146e-5,3.608845773121614e-7,1.605842605935024e-5,-1.9709998543024e-5,-1.5848507636397962e-5,2.2500528840519974e-5,4.451595236402988e-6,1.3837048896607771e-5,-1.3839175217929181e-5,-1.0511141783039141e-5,1.799730087945477e-5,1.0003145056693377e-6,9.030661209212703e-6,6.65746528695317e-6,-3.837504284648651e-5,7.06413566736568e-6,7.450487155415142e-5,8.42156168445127e-6,5.880479575501273e-6,-1.4149810316784473e-5,5.277662928459359e-6,-3.77092423245798e-5,-9.006663238312034e-6,5.607300357826963e-6,3.3262317796173763e-5,1.8480016850900008e-5,-1.1283203894916965e-5,-4.4719877134223555e-6,-4.3408528452195186e-5,-3.5939624935211303e-6,1.3997216884841861e-5,7.070795851234939e-6,-3.34700253489274e-5,-4.512798020741375e-7,4.711850011742331e-6,-1.708564833015266e-5,2.3761883218021057e-5,3.8957039671874745e-7,3.1374921394378317e-6,-2.3248007218729285e-5,-4.065054827374617e-5,-1.9829632775620665e-5,3.150062661002922e-7,1.223434466140886e-5,1.9311948402788414e-5,-4.0937445513977e-5,-2.5964715593223238e-5,2.465183298161685e-5,2.957100672434034e-5,9.910439111768246e-6,-1.3111367217875062e-5
-6.240969816091266e-6,2.238757174513192e-7,-2.3672840732703948e-5,-1.837580324869094e-5,1.8002352051089576e-5,6.191458466049541e-5,2.3812460593047712e-5,6.276857417008405e-6,3.0386948109274115e-6,1.917048479745578e-5,-1.8312129331448718e-6,5.943337080154879e-6,3.8665440693787515e-6,3.885589954857356e-5,2.361903869959869e-5,-5.1568604186775614e-5,-1.236901650160594e-5,2.4621221961694687e-5,6.07241456123248e-7,2.379382946891829e-5,-4.237707554142707e-6,-1.5698925064711926e-5,-5.758985240425398e-7,-2.1129909121677506e-5,1.844044612976708e-6,-1.5497080558933447e-6,-4.0112272662453554e-5,-5.319091878508198e-5,-2.780274775993242e-6,2.7553021640129405e-5,-2.3018868221889025e-5,8.613520000250838e-8,-1.9618012416574856e-5,-1.2712023721771864e-5,1.532956588772816e-5,-4.166437290656723e-5,-1.5255146167787349e-5,1.9285207253924403e-5,2.1432467430412835e-5,5.465917008888025e-7,1.8347978429677416e-5,1.4210642265657665e-5,5.4460786132656105e-6,-7.333539801277545e-6,6.559907424547972e-6,1.3406649337844192e-5,1.6782701441965956e-5,-2.156139421541707e-5,2.265968396953518e-5,1.9569176800715007e-5,1.9218445184887603e-5,-1.1669078319392932e-5,1.989597711891655e-6,8.70862472308813e-6,5.874339566552018e-6,9.519684558195374e-6,-1.5381795036805664e-5,-7.612329310428383e-6,1.7004994568313494e-5,6.999298478165108e-6,4.77880613231589e-6,2.2302807014432298e-5,-3.180934243941189e-5,-1.8342003267155045e-6,2.0187389889326602e-5,2.0320979952888935e-5,1.130377414781894e-5,-1.3320455450309628e-5,6.448098252693338e-6,-2.151473100014824e-5,-7.257689188558733e-6,2.03698277179405e-5,2.3024977811661174e-5,1.8598231468584724e-5,1.1110196190897613e-5,-1.0427283116363392e-5,-9.224488804477046e-6,-1.774547546094197e-5,1.9381575543452974e-5,5.990087516775206e-6,-8.057690191714107e-5,6.3207144636156845e-6,-6.298060337602128e-6,-4.504752132283169e-6,3.08048757260384e-5,-1.4928557088798497e-6,1.8667126880432062e-6,-1.196509167914241e-5,-3.51242875967674e-5,-2.2617810219831453e-5,1.5605089549889314e-5,4.455227075603638e-5,3.0194155153892612e-5,-4.720224546794795e-5,-1.1408565255123517e-5,5.2484243877683647e-5,2.4524577104638628e-5,-1.0279988571569237e-5,-3.461168536640079e-6
7.328148801711831e-6,-1.0722474058468155e-5,-3.250992138521297e-5,-2.8120763037640286e-5,2.0187857477553028e-5,2.3812460593047712e-5,0.00010029123756572395,1.8196977225452692e-5,9.962550357004978e-6,3.957480590511446e-5,9.14387306032883e-6,1.566159204776624e-5,3.913380412929703e-6,2.3352670095657686e-5,5.128141226297057e-5,-6.42910776045136e-5,-1.0713131187607653e-5,1.808272606798307e-5,1.5921533520620674e-7,1.5685717738150997e-5,1.2227241508262331e-5,-2.7609476901862997e-5,5.995465169677328e-6,-3.79296846718076e-5,1.3991461967927042e-5,1.531147013415539e-5,-5.0883049035135816e-5,-7.256149928109363e-5,-1.5436722984925988e-6,3.705423581920878e-5,-2.8996274922061646e-5,1.612697768447523e-5,-1.1454109386736401e-5,-1.1341312035010196e-5,1.1892472150554963e-5,-2.6259005033347827e-5,-3.060328560372398e-5,2.099709488328367e-5,3.6806855246685144e-5,8.330161618621045e-6,2.275710472157181e-5,6.4814677815618035e-6,-1.5990655272404844e-6,-7.65318757112936e-6,5.491602085290735e-6,2.1921530021780712e-6,1.8051636920681124e-5,-1.8348858736313142e-5,1.5378835758881505e-5,4.035491299151552e-5,3.83994891426413e-5,2.1016758339599362e-7,-2.1589279827989325e-5,3.537024397743486e-5,9.126244811217554e-6,1.655307740284784e-5,-2.7147765096948747e-5,-1.3546535011444109e-5,4.293074413715937e-5,2.97368909803692e-6,2.9706477925151914e-6,1.46012617231467e-5,-3.6501353548295974e-5,-3.4492800065349185e-6,4.5626963005508874e-6,1.9966827667188412e-5,1.2464090539959593e-5,-1.955914284498279e-5,3.7241369462187433e-6,-1.883160181640389e-5,-1.0967338868494112e-5,2.6190359944937102e-5,2.8963706834744693e-5,2.716416933227203e-5,1.9963679339011943e-5,1.415091852073341e-5,-1.4216721477635668e-5,-2.7617850310915856e-5,1.7140810912895496e-5,-1.7016852837551602e-6,-8.070471746964654e-5,2.504578815267548e-6,-4.292044049793261e-6,-6.392088557650037e-6,2.0667582772241997e-5,7.136919496787564e-6,4.582105229152605e-6,-1.36393509839478e-5,-3.5342855229479955e-5,-1.878196595996715e-5,4.974020247626178e-6,3.0044567559141556e-5,4.6797937424344434e-5,-4.014959301237026e-5,-2.182273933531023e-5,2.9043167135644195e-5,2.5158164259162667e-5,-4.102495680316225e-5,2.0613721840307585e-6
-3.8757082705866456e-5,-2.202499587708394e-5,-1.8697772098680157e-6,4.7908809295056494e-8,-1.3442651937309741e-5,6.276857417008405e-6,1.8196977225452692e-5,0.00023072595642639613,-8.087408223504095e-6,7.240243421056398e-5,1.4125325239695154e-5,-1.055176225019411e-5,-2.1102275356930225e-5,1.4626623260512033e-5,6.056845666099039e-7,1.2442642435462183e-5,-1.7566899068889166e-5,-8.143960009302046e-6,-1.4337424895864519e-5,-5.581099520018957e-6,-3.567741960910493e-5,6.264804622924596e-6,-4.552360294697023e-5,1.2498022543180865e-5,4.041754111324855e-6,-1.2639003096713943e-5,2.001156461618362e-6,-7.254655242428117e-6,1.3060118325278895e-5,1.696714127038329e-5,-1.0103136801589467e-5,5.102690039842924e-6,-2.96924524863839e-5,-1.603980242814712e-5,6.894804403924492e-8,2.853229710011638e-5,1.1252190715409536e-5,-2.1360137670840583e-6,9.933008193539012e-8,-1.982956077727172e-5,2.4979676994684764e-5,-5.209992907300606e-6,-2.5844505181736585e-6,5.567033444327301e-6,4.478605178716032e-6,-1.544120579669316e-5,8.215033211530428e-6,1.4268524213959172e-5,-2.7295408395169586e-5,8.175241277302595e-5,-7.002234173878545e-6,-2.38027107314932e-5,1.523541794337883e-5,-2.739801544167957e-5,1.0938466337585136e-5,-7.161988644911546e-6,1.274711341889728e-6,1.0415402212933487e-6,-8.49311342504683e-6,7.069468095394062e-6,-2.059325011932185e-6,-9.624113307212598e-6,-1.576272824463705e-5,-2.2528800161489078e-5,-1.9684149751365066e-5,-6.53562472965308e-6,-2.2320691568019102e-5,-4.178828448583911e-6,6.090028645706008e-6,1.556199428094167e-5,6.373366647781439e-7,7.847470846149598e-5,-2.7800307256309606e-5,-1.7595512168486623e-6,8.992104454475807e-5,-2.379748218957303e-5,-4.117665388076799e-6,-8.860279236152755e-7,6.795254783208753e-6,-4.137202390688687e-5,-2.286992396771032e-7,-3.8213277374113085e-6,-2.943785430070335e-5,-1.0211533144754585e-7,1.2354752774437204e-5,-8.602263147301058e-6,-1.1419310650745376e-5,1.704001847742488e-5,-2.031790104413012e-5,-6.1218574469359915e-6,4.200865829028081e-6,1.755728169293262e-5,1.4469800003117779e-5,-2.8495790601886642e-5,8.801259659774248e-6,1.857323220007704e-5,-1.3373102562760311e-5,3.554338168065885e-6,-1.1763113140550662e-5
6.096941248544835e-5,1.3302953407069612e-5,-7.48626057957524e-5,-4.361427078322969e-6,5.43141277226013e-5,3.0386948109274115e-6,9.962550357004978e-6,-8.087408223504095e-6,0.0002248839895696511,1.795081917935466e-5,-2.8800922841484926e-6,4.2878655368698195e-7,3.418965861202372e-5,9.75026881906892e-7,1.8607769069396034e-5,-0.0001132587015081867,-5.3530017080317376e-6,3.2593769779600364e-5,4.637973168293013e-5,1.6626959462561263e-5,0.00020322289776244956,-1.0869282335305533e-5,6.540264054729032e-5,-4.252953583668811e-5,-3.13503291008514e-6,0.0001684775614318737,-1.9319056330368517e-5,-0.00011282374742231173,6.812832600707032e-6,1.9949727458597438e-5,-8.256549041375378e-7,2.070532334145678e-5,2.730665707950452e-5,2.4813250391206925e-5,2.6566547838164494e-5,-9.04505639341178e-5,-3.849181980046823e-5,6.058283634624729e-5,-1.0944806599679903e-5,4.4741343740619265e-5,7.188755943049522e-6,2.1212317106483348e-5,-3.227913622851534e-5,-2.1807040588869166e-5,1.913895502559563e-5,4.1917032350324925e-5,2.633886136905704e-5,-6.581987272014093e-5,2.4072390099452764e-5,6.421201267808214e-6,1.2263200652211458e-5,4.108235924078508e-5,-2.7174221710899813e-5,4.48320332920776e-6,-4.948806507316416e-6,2.3611079019171748e-5,-4.698575808344383e-5,-1.2058084826211585e-5,1.2755429958942875e-6,1.4233931065206835e-5,1.1437695253693978e-5,1.1865031405117938e-5,-5.1811053017470625e-5,7.316036226101636e-5,5.371530792191431e-5,7.197436588660304e-6,5.981354095070979e-6,-7.121440190279539e-8,4.42650020741313e-6,-6.48068311371946e-5,-2.6800392791912553e-5,1.948705965420028e-6,1.9925495635909125e-5,-2.5394608777806957e-6,-1.1523647474904212e-5,4.130900091541451e-5,-5.405706092319901e-5,-3.0506350402285972e-5,9.44043473640896e-6,2.0629055045245257e-5,-4.178586249785027e-5,2.832315786371873e-6,6.0157185838959334e-5,-4.714577979504829e-6,1.1660150535875706e-5,1.049592039475566e-5,1.196802146347151e-5,-4.513793777110523e-5,-3.64997503693023e-5,1.217732843501034e-5,-1.0510857221106682e-5,7.786874610357878e-6,2.0789135972603396e-5,-8.268043754251841e-5,-6.578852878850935e-5,-4.649795350499342e-6,4.148429505309141e-5,-3.1928256166804074e-5,8.618187521083225e-6
1.3623471801267564e-5,-2.4192208894785325e-5,-1.5456561700037562e-5,-9.033044931567594e-6,-7.570370902512405e-7,1.917048479745578e-5,3.957480590511446e-5,7.240243421056398e-5,1.795081917935466e-5,0.000152331619975547,2.8900791862159263e-5,2.292017470871018e-5,1.288156219029914e-5,2.252425468985017e-5,2.3447242339685575e-5,-7.668902142755598e-5,-4.751640783954566e-6,2.4990054151019253e-5,-8.720491986513755e-6,1.685557000631757e-5,-6.419693486993012e-6,-4.442174788082231e-6,1.2408447771340113e-5,-1.8517788777094797e-5,2.1303212930947443e-5,8.540206716993162e-6,-6.162501841804321e-5,-9.972521312285236e-5,5.402780798178234e-6,2.577069066012944e-5,-3.645132773430529e-5,2.3172194731131432e-5,7.91728502593802e-6,-2.6207496959935105e-6,5.990777385996573e-6,-1.0141117915288075e-5,-1.2823251892330503e-5,8.007826645654697e-6,-1.2696354716106499e-5,-2.286266899584359e-6,1.971849677150856e-5,-7.315924274821443e-6,-1.343798319257297e-7,-4.573710237161056e-6,1.6998136992986557e-5,-7.795767921382522e-7,2.0591216703106116e-5,-4.94318341195608e-6,2.676977675195732e-5,7.549119061090519e-5,3.5787111184023056e-5,2.6248228959571277e-6,-1.1490775213581172e-5,1.1417098911427569e-5,1.730820866229126e-5,8.430459644816368e-6,-4.426810339003193e-5,-1.6789013832340463e-5,8.540813509265295e-7,7.748188812933807e-6,1.4885146154775072e-6,1.2282321926414678e-5,-5.3157370008308646e-5,-1.2821122811440563e-7,-1.3422157595710676e-5,2.0652021277397997e-5,-3.205640475907368e-6,-1.4808414871832929e-5,7.810507518661613e-6,-4.448148230532109e-6,-1.360661779520884e-5,5.932120885032819e-5,-1.4921125811605286e-5,1.0890058695362653e-5,6.383446608307849e-5,9.821140863344282e-6,-1.063211614163075e-5,-5.3016010777235646e-5,8.407196263333237e-6,-1.2020144297968973e-5,-4.151053483468193e-5,3.4079573067325198e-6,-2.2067483756747225e-6,3.2725832468415824e-7,1.4436545096629727e-5,8.853053979464815e-6,1.1263280044706095e-6,-2.5269329276565742e-5,-6.291019516710823e-5,-7.331666157892709e-6,-9.68096612598332e-8,2.0590503170535614e-5,2.409240291817979e-5,-9.389386712068686e-6,-2.9845717906909474e-5,2.072219777505708e-5,1.530247694924684e-5,-1.8373969125951044e-5,-3.006120415585763e-6
